CURSAT ver 2.1              Date:         03-02-2020      Hour:       13:05:34
Input file:   seedbank.txt
Accumulation pseudoreplicates' file:      accum_seedbank_boot.txt
Dataset pseudoreplicates' file:           pseud_seedbank_boot.txt
Number of columns (sampling events):       121 
Number of rows (species, OTUs, ojects,...):              34 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 3 	 69 	 31 	
 3 	 70 	 31 	
 3 	 71 	 31 	
 3 	 72 	 31 	
 3 	 73 	 31 	
 3 	 74 	 31 	
 3 	 75 	 33 	
 3 	 76 	 33 	
 3 	 77 	 33 	
 3 	 78 	 33 	
 3 	 79 	 33 	
 3 	 80 	 33 	
 3 	 81 	 33 	
 3 	 82 	 33 	
 3 	 83 	 33 	
 3 	 84 	 33 	
 3 	 85 	 34 	
 3 	 86 	 34 	
 3 	 87 	 34 	
 3 	 88 	 34 	
 3 	 89 	 34 	
 3 	 90 	 34 	
 3 	 91 	 34 	
 3 	 92 	 34 	
 3 	 93 	 34 	
 3 	 94 	 34 	
 3 	 95 	 34 	
 3 	 96 	 34 	
 3 	 97 	 34 	
 3 	 98 	 34 	
 3 	 99 	 34 	
 3 	 100 	 34 	
 3 	 101 	 34 	
 3 	 102 	 34 	
 3 	 103 	 34 	
 3 	 104 	 34 	
 3 	 105 	 34 	
 3 	 106 	 34 	
 3 	 107 	 34 	
 3 	 108 	 34 	
 3 	 109 	 34 	
 3 	 110 	 34 	
 3 	 111 	 34 	
 3 	 112 	 34 	
 3 	 113 	 34 	
 3 	 114 	 34 	
 3 	 115 	 34 	
 3 	 116 	 34 	
 3 	 117 	 34 	
 3 	 118 	 34 	
 3 	 119 	 34 	
 3 	 120 	 34 	
 3 	 121 	 34 	
 4 	 1 	 4 	
 4 	 2 	 7 	
 4 	 3 	 11 	
 4 	 4 	 15 	
 4 	 5 	 15 	
 4 	 6 	 16 	
 4 	 7 	 17 	
 4 	 8 	 19 	
 4 	 9 	 21 	
 4 	 10 	 21 	
 4 	 11 	 21 	
 4 	 12 	 21 	
 4 	 13 	 21 	
 4 	 14 	 22 	
 4 	 15 	 22 	
 4 	 16 	 22 	
 4 	 17 	 22 	
 4 	 18 	 24 	
 4 	 19 	 24 	
 4 	 20 	 24 	
 4 	 21 	 24 	
 4 	 22 	 25 	
 4 	 23 	 25 	
 4 	 24 	 25 	
 4 	 25 	 25 	
 4 	 26 	 25 	
 4 	 27 	 25 	
 4 	 28 	 27 	
 4 	 29 	 28 	
 4 	 30 	 28 	
 4 	 31 	 28 	
 4 	 32 	 28 	
 4 	 33 	 28 	
 4 	 34 	 28 	
 4 	 35 	 28 	
 4 	 36 	 28 	
 4 	 37 	 28 	
 4 	 38 	 28 	
 4 	 39 	 28 	
 4 	 40 	 28 	
 4 	 41 	 28 	
 4 	 42 	 28 	
 4 	 43 	 28 	
 4 	 44 	 28 	
 4 	 45 	 28 	
 4 	 46 	 28 	
 4 	 47 	 28 	
 4 	 48 	 28 	
 4 	 49 	 28 	
 4 	 50 	 28 	
 4 	 51 	 28 	
 4 	 52 	 28 	
 4 	 53 	 28 	
 4 	 54 	 28 	
 4 	 55 	 28 	
 4 	 56 	 28 	
 4 	 57 	 28 	
 4 	 58 	 28 	
 4 	 59 	 28 	
 4 	 60 	 28 	
 4 	 61 	 28 	
 4 	 62 	 28 	
 4 	 63 	 28 	
 4 	 64 	 28 	
 4 	 65 	 28 	
 4 	 66 	 28 	
 4 	 67 	 28 	
 4 	 68 	 28 	
 4 	 69 	 28 	
 4 	 70 	 28 	
 4 	 71 	 28 	
 4 	 72 	 29 	
 4 	 73 	 29 	
 4 	 74 	 29 	
 4 	 75 	 29 	
 4 	 76 	 29 	
 4 	 77 	 29 	
 4 	 78 	 29 	
 4 	 79 	 29 	
 4 	 80 	 29 	
 4 	 81 	 29 	
 4 	 82 	 29 	
 4 	 83 	 29 	
 4 	 84 	 29 	
 4 	 85 	 30 	
 4 	 86 	 30 	
 4 	 87 	 31 	
 4 	 88 	 31 	
 4 	 89 	 31 	
 4 	 90 	 32 	
 4 	 91 	 32 	
 4 	 92 	 32 	
 4 	 93 	 32 	
 4 	 94 	 32 	
 4 	 95 	 32 	
 4 	 96 	 32 	
 4 	 97 	 32 	
 4 	 98 	 32 	
 4 	 99 	 32 	
 4 	 100 	 32 	
 4 	 101 	 32 	
 4 	 102 	 32 	
 4 	 103 	 32 	
 4 	 104 	 32 	
 4 	 105 	 32 	
 4 	 106 	 33 	
 4 	 107 	 33 	
 4 	 108 	 33 	
 4 	 109 	 33 	
 4 	 110 	 33 	
 4 	 111 	 33 	
 4 	 112 	 33 	
 4 	 113 	 33 	
 4 	 114 	 33 	
 4 	 115 	 33 	
 4 	 116 	 33 	
 4 	 117 	 33 	
 4 	 118 	 33 	
 4 	 119 	 33 	
 4 	 120 	 33 	
 4 	 121 	 33 	
 5 	 1 	 3 	
 5 	 2 	 5 	
 5 	 3 	 7 	
 5 	 4 	 8 	
 5 	 5 	 9 	
 5 	 6 	 9 	
 5 	 7 	 9 	
 5 	 8 	 9 	
 5 	 9 	 10 	
 5 	 10 	 10 	
 5 	 11 	 10 	
 5 	 12 	 11 	
 5 	 13 	 12 	
 5 	 14 	 13 	
 5 	 15 	 13 	
 5 	 16 	 16 	
 5 	 17 	 16 	
 5 	 18 	 18 	
 5 	 19 	 18 	
 5 	 20 	 19 	
 5 	 21 	 20 	
 5 	 22 	 20 	
 5 	 23 	 22 	
 5 	 24 	 22 	
 5 	 25 	 23 	
 5 	 26 	 23 	
 5 	 27 	 24 	
 5 	 28 	 25 	
 5 	 29 	 26 	
 5 	 30 	 26 	
 5 	 31 	 26 	
 5 	 32 	 26 	
 5 	 33 	 26 	
 5 	 34 	 26 	
 5 	 35 	 26 	
 5 	 36 	 26 	
 5 	 37 	 26 	
 5 	 38 	 26 	
 5 	 39 	 26 	
 5 	 40 	 26 	
 5 	 41 	 26 	
 5 	 42 	 26 	
 5 	 43 	 28 	
 5 	 44 	 28 	
 5 	 45 	 28 	
 5 	 46 	 28 	
 5 	 47 	 28 	
 5 	 48 	 30 	
 5 	 49 	 30 	
 5 	 50 	 30 	
 5 	 51 	 30 	
 5 	 52 	 30 	
 5 	 53 	 30 	
 5 	 54 	 30 	
 5 	 55 	 30 	
 5 	 56 	 30 	
 5 	 57 	 30 	
 5 	 58 	 30 	
 5 	 59 	 30 	
 5 	 60 	 30 	
 5 	 61 	 30 	
 5 	 62 	 30 	
 5 	 63 	 30 	
 5 	 64 	 30 	
 5 	 65 	 31 	
 5 	 66 	 31 	
 5 	 67 	 31 	
 5 	 68 	 31 	
 5 	 69 	 31 	
 5 	 70 	 31 	
 5 	 71 	 31 	
 5 	 72 	 31 	
 5 	 73 	 31 	
 5 	 74 	 31 	
 5 	 75 	 31 	
 5 	 76 	 31 	
 5 	 77 	 31 	
 5 	 78 	 31 	
 5 	 79 	 31 	
 5 	 80 	 31 	
 5 	 81 	 31 	
 5 	 82 	 31 	
 5 	 83 	 31 	
 5 	 84 	 31 	
 5 	 85 	 31 	
 5 	 86 	 31 	
 5 	 87 	 31 	
 5 	 88 	 31 	
 5 	 89 	 33 	
 5 	 90 	 33 	
 5 	 91 	 33 	
 5 	 92 	 33 	
 5 	 93 	 33 	
 5 	 94 	 33 	
 5 	 95 	 33 	
 5 	 96 	 33 	
 5 	 97 	 33 	
 5 	 98 	 33 	
 5 	 99 	 34 	
 5 	 100 	 34 	
 5 	 101 	 34 	
 5 	 102 	 34 	
 5 	 103 	 34 	
 5 	 104 	 34 	
 5 	 105 	 34 	
 5 	 106 	 34 	
 5 	 107 	 34 	
 5 	 108 	 34 	
 5 	 109 	 34 	
 5 	 110 	 34 	
 5 	 111 	 34 	
 5 	 112 	 34 	
 5 	 113 	 34 	
 5 	 114 	 34 	
 5 	 115 	 34 	
 5 	 116 	 34 	
 5 	 117 	 34 	
 5 	 118 	 34 	
 5 	 119 	 34 	
 5 	 120 	 34 	
 5 	 121 	 34 	
 6 	 1 	 4 	
 6 	 2 	 7 	
 6 	 3 	 7 	
 6 	 4 	 10 	
 6 	 5 	 11 	
 6 	 6 	 12 	
 6 	 7 	 15 	
 6 	 8 	 16 	
 6 	 9 	 17 	
 6 	 10 	 17 	
 6 	 11 	 19 	
 6 	 12 	 23 	
 6 	 13 	 23 	
 6 	 14 	 23 	
 6 	 15 	 23 	
 6 	 16 	 24 	
 6 	 17 	 26 	
 6 	 18 	 27 	
 6 	 19 	 27 	
 6 	 20 	 27 	
 6 	 21 	 27 	
 6 	 22 	 27 	
 6 	 23 	 28 	
 6 	 24 	 28 	
 6 	 25 	 28 	
 6 	 26 	 28 	
 6 	 27 	 28 	
 6 	 28 	 28 	
 6 	 29 	 28 	
 6 	 30 	 28 	
 6 	 31 	 28 	
 6 	 32 	 29 	
 6 	 33 	 29 	
 6 	 34 	 29 	
 6 	 35 	 29 	
 6 	 36 	 29 	
 6 	 37 	 29 	
 6 	 38 	 29 	
 6 	 39 	 29 	
 6 	 40 	 29 	
 6 	 41 	 29 	
 6 	 42 	 30 	
 6 	 43 	 30 	
 6 	 44 	 30 	
 6 	 45 	 30 	
 6 	 46 	 30 	
 6 	 47 	 30 	
 6 	 48 	 30 	
 6 	 49 	 30 	
 6 	 50 	 30 	
 6 	 51 	 30 	
 6 	 52 	 30 	
 6 	 53 	 30 	
 6 	 54 	 30 	
 6 	 55 	 30 	
 6 	 56 	 30 	
 6 	 57 	 30 	
 6 	 58 	 30 	
 6 	 59 	 30 	
 6 	 60 	 30 	
 6 	 61 	 30 	
 6 	 62 	 30 	
 6 	 63 	 30 	
 6 	 64 	 30 	
 6 	 65 	 30 	
 6 	 66 	 30 	
 6 	 67 	 30 	
 6 	 68 	 30 	
 6 	 69 	 30 	
 6 	 70 	 30 	
 6 	 71 	 30 	
 6 	 72 	 30 	
 6 	 73 	 30 	
 6 	 74 	 30 	
 6 	 75 	 30 	
 6 	 76 	 30 	
 6 	 77 	 30 	
 6 	 78 	 30 	
 6 	 79 	 30 	
 6 	 80 	 30 	
 6 	 81 	 30 	
 6 	 82 	 30 	
 6 	 83 	 30 	
 6 	 84 	 30 	
 6 	 85 	 30 	
 6 	 86 	 31 	
 6 	 87 	 31 	
 6 	 88 	 31 	
 6 	 89 	 31 	
 6 	 90 	 31 	
 6 	 91 	 31 	
 6 	 92 	 31 	
 6 	 93 	 31 	
 6 	 94 	 31 	
 6 	 95 	 31 	
 6 	 96 	 31 	
 6 	 97 	 31 	
 6 	 98 	 31 	
 6 	 99 	 31 	
 6 	 100 	 31 	
 6 	 101 	 32 	
 6 	 102 	 32 	
 6 	 103 	 32 	
 6 	 104 	 33 	
 6 	 105 	 33 	
 6 	 106 	 33 	
 6 	 107 	 33 	
 6 	 108 	 33 	
 6 	 109 	 33 	
 6 	 110 	 33 	
 6 	 111 	 33 	
 6 	 112 	 33 	
 6 	 113 	 33 	
 6 	 114 	 33 	
 6 	 115 	 33 	
 6 	 116 	 33 	
 6 	 117 	 33 	
 6 	 118 	 33 	
 6 	 119 	 33 	
 6 	 120 	 34 	
 6 	 121 	 34 	
 7 	 1 	 2 	
 7 	 2 	 6 	
 7 	 3 	 8 	
 7 	 4 	 11 	
 7 	 5 	 12 	
 7 	 6 	 12 	
 7 	 7 	 13 	
 7 	 8 	 14 	
 7 	 9 	 14 	
 7 	 10 	 14 	
 7 	 11 	 14 	
 7 	 12 	 16 	
 7 	 13 	 18 	
 7 	 14 	 18 	
 7 	 15 	 18 	
 7 	 16 	 19 	
 7 	 17 	 20 	
 7 	 18 	 20 	
 7 	 19 	 20 	
 7 	 20 	 20 	
 7 	 21 	 20 	
 7 	 22 	 20 	
 7 	 23 	 21 	
 7 	 24 	 21 	
 7 	 25 	 21 	
 7 	 26 	 22 	
 7 	 27 	 22 	
 7 	 28 	 23 	
 7 	 29 	 23 	
 7 	 30 	 25 	
 7 	 31 	 25 	
 7 	 32 	 25 	
 7 	 33 	 25 	
 7 	 34 	 25 	
 7 	 35 	 25 	
 7 	 36 	 25 	
 7 	 37 	 27 	
 7 	 38 	 27 	
 7 	 39 	 28 	
 7 	 40 	 28 	
 7 	 41 	 28 	
 7 	 42 	 28 	
 7 	 43 	 29 	
 7 	 44 	 29 	
 7 	 45 	 29 	
 7 	 46 	 29 	
 7 	 47 	 29 	
 7 	 48 	 29 	
 7 	 49 	 29 	
 7 	 50 	 29 	
 7 	 51 	 29 	
 7 	 52 	 29 	
 7 	 53 	 29 	
 7 	 54 	 29 	
 7 	 55 	 29 	
 7 	 56 	 29 	
 7 	 57 	 31 	
 7 	 58 	 31 	
 7 	 59 	 31 	
 7 	 60 	 31 	
 7 	 61 	 31 	
 7 	 62 	 33 	
 7 	 63 	 33 	
 7 	 64 	 33 	
 7 	 65 	 33 	
 7 	 66 	 33 	
 7 	 67 	 33 	
 7 	 68 	 33 	
 7 	 69 	 33 	
 7 	 70 	 33 	
 7 	 71 	 33 	
 7 	 72 	 33 	
 7 	 73 	 33 	
 7 	 74 	 33 	
 7 	 75 	 33 	
 7 	 76 	 33 	
 7 	 77 	 33 	
 7 	 78 	 33 	
 7 	 79 	 33 	
 7 	 80 	 33 	
 7 	 81 	 33 	
 7 	 82 	 33 	
 7 	 83 	 33 	
 7 	 84 	 33 	
 7 	 85 	 33 	
 7 	 86 	 33 	
 7 	 87 	 33 	
 7 	 88 	 33 	
 7 	 89 	 33 	
 7 	 90 	 33 	
 7 	 91 	 33 	
 7 	 92 	 33 	
 7 	 93 	 33 	
 7 	 94 	 33 	
 7 	 95 	 33 	
 7 	 96 	 33 	
 7 	 97 	 33 	
 7 	 98 	 33 	
 7 	 99 	 33 	
 7 	 100 	 33 	
 7 	 101 	 33 	
 7 	 102 	 33 	
 7 	 103 	 33 	
 7 	 104 	 33 	
 7 	 105 	 33 	
 7 	 106 	 33 	
 7 	 107 	 33 	
 7 	 108 	 33 	
 7 	 109 	 33 	
 7 	 110 	 33 	
 7 	 111 	 33 	
 7 	 112 	 33 	
 7 	 113 	 34 	
 7 	 114 	 34 	
 7 	 115 	 34 	
 7 	 116 	 34 	
 7 	 117 	 34 	
 7 	 118 	 34 	
 7 	 119 	 34 	
 7 	 120 	 34 	
 7 	 121 	 34 	
 8 	 1 	 3 	
 8 	 2 	 4 	
 8 	 3 	 7 	
 8 	 4 	 9 	
 8 	 5 	 10 	
 8 	 6 	 12 	
 8 	 7 	 12 	
 8 	 8 	 12 	
 8 	 9 	 14 	
 8 	 10 	 14 	
 8 	 11 	 14 	
 8 	 12 	 15 	
 8 	 13 	 17 	
 8 	 14 	 17 	
 8 	 15 	 18 	
 8 	 16 	 19 	
 8 	 17 	 19 	
 8 	 18 	 20 	
 8 	 19 	 20 	
 8 	 20 	 21 	
 8 	 21 	 22 	
 8 	 22 	 23 	
 8 	 23 	 24 	
 8 	 24 	 24 	
 8 	 25 	 25 	
 8 	 26 	 28 	
 8 	 27 	 28 	
 8 	 28 	 28 	
 8 	 29 	 28 	
 8 	 30 	 28 	
 8 	 31 	 30 	
 8 	 32 	 30 	
 8 	 33 	 30 	
 8 	 34 	 30 	
 8 	 35 	 30 	
 8 	 36 	 30 	
 8 	 37 	 31 	
 8 	 38 	 31 	
 8 	 39 	 31 	
 8 	 40 	 31 	
 8 	 41 	 31 	
 8 	 42 	 31 	
 8 	 43 	 31 	
 8 	 44 	 31 	
 8 	 45 	 31 	
 8 	 46 	 32 	
 8 	 47 	 32 	
 8 	 48 	 32 	
 8 	 49 	 32 	
 8 	 50 	 32 	
 8 	 51 	 32 	
 8 	 52 	 32 	
 8 	 53 	 32 	
 8 	 54 	 32 	
 8 	 55 	 32 	
 8 	 56 	 32 	
 8 	 57 	 32 	
 8 	 58 	 32 	
 8 	 59 	 32 	
 8 	 60 	 32 	
 8 	 61 	 32 	
 8 	 62 	 32 	
 8 	 63 	 32 	
 8 	 64 	 32 	
 8 	 65 	 32 	
 8 	 66 	 32 	
 8 	 67 	 32 	
 8 	 68 	 32 	
 8 	 69 	 32 	
 8 	 70 	 32 	
 8 	 71 	 32 	
 8 	 72 	 32 	
 8 	 73 	 32 	
 8 	 74 	 32 	
 8 	 75 	 32 	
 8 	 76 	 32 	
 8 	 77 	 32 	
 8 	 78 	 32 	
 8 	 79 	 32 	
 8 	 80 	 32 	
 8 	 81 	 32 	
 8 	 82 	 32 	
 8 	 83 	 32 	
 8 	 84 	 32 	
 8 	 85 	 32 	
 8 	 86 	 32 	
 8 	 87 	 32 	
 8 	 88 	 32 	
 8 	 89 	 32 	
 8 	 90 	 32 	
 8 	 91 	 32 	
 8 	 92 	 32 	
 8 	 93 	 32 	
 8 	 94 	 32 	
 8 	 95 	 32 	
 8 	 96 	 32 	
 8 	 97 	 32 	
 8 	 98 	 32 	
 8 	 99 	 32 	
 8 	 100 	 32 	
 8 	 101 	 32 	
 8 	 102 	 32 	
 8 	 103 	 32 	
 8 	 104 	 32 	
 8 	 105 	 32 	
 8 	 106 	 32 	
 8 	 107 	 32 	
 8 	 108 	 32 	
 8 	 109 	 32 	
 8 	 110 	 32 	
 8 	 111 	 32 	
 8 	 112 	 32 	
 8 	 113 	 32 	
 8 	 114 	 32 	
 8 	 115 	 33 	
 8 	 116 	 33 	
 8 	 117 	 33 	
 8 	 118 	 33 	
 8 	 119 	 33 	
 8 	 120 	 33 	
 8 	 121 	 33 	
 9 	 1 	 4 	
 9 	 2 	 8 	
 9 	 3 	 9 	
 9 	 4 	 9 	
 9 	 5 	 12 	
 9 	 6 	 14 	
 9 	 7 	 16 	
 9 	 8 	 17 	
 9 	 9 	 17 	
 9 	 10 	 18 	
 9 	 11 	 19 	
 9 	 12 	 19 	
 9 	 13 	 21 	
 9 	 14 	 22 	
 9 	 15 	 22 	
 9 	 16 	 24 	
 9 	 17 	 24 	
 9 	 18 	 25 	
 9 	 19 	 25 	
 9 	 20 	 25 	
 9 	 21 	 25 	
 9 	 22 	 25 	
 9 	 23 	 25 	
 9 	 24 	 25 	
 9 	 25 	 25 	
 9 	 26 	 25 	
 9 	 27 	 27 	
 9 	 28 	 27 	
 9 	 29 	 27 	
 9 	 30 	 27 	
 9 	 31 	 28 	
 9 	 32 	 28 	
 9 	 33 	 28 	
 9 	 34 	 28 	
 9 	 35 	 28 	
 9 	 36 	 28 	
 9 	 37 	 28 	
 9 	 38 	 28 	
 9 	 39 	 28 	
 9 	 40 	 29 	
 9 	 41 	 29 	
 9 	 42 	 30 	
 9 	 43 	 30 	
 9 	 44 	 31 	
 9 	 45 	 31 	
 9 	 46 	 31 	
 9 	 47 	 31 	
 9 	 48 	 31 	
 9 	 49 	 31 	
 9 	 50 	 31 	
 9 	 51 	 31 	
 9 	 52 	 31 	
 9 	 53 	 32 	
 9 	 54 	 32 	
 9 	 55 	 32 	
 9 	 56 	 32 	
 9 	 57 	 32 	
 9 	 58 	 32 	
 9 	 59 	 32 	
 9 	 60 	 32 	
 9 	 61 	 32 	
 9 	 62 	 32 	
 9 	 63 	 32 	
 9 	 64 	 32 	
 9 	 65 	 32 	
 9 	 66 	 32 	
 9 	 67 	 32 	
 9 	 68 	 32 	
 9 	 69 	 32 	
 9 	 70 	 32 	
 9 	 71 	 32 	
 9 	 72 	 32 	
 9 	 73 	 32 	
 9 	 74 	 32 	
 9 	 75 	 32 	
 9 	 76 	 33 	
