CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:59:24
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_shuf.txt
Dataset pseudoreplicates' file:           pseud_incidence_shuf.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Resampling without replacement

Replicate	Sampling event	Accumulation per n. of events	
 53 	 4 	 12 	
 53 	 5 	 12 	
 53 	 6 	 12 	
 53 	 7 	 12 	
 53 	 8 	 12 	
 53 	 9 	 12 	
 53 	 10 	 12 	
 54 	 1 	 6 	
 54 	 2 	 8 	
 54 	 3 	 11 	
 54 	 4 	 12 	
 54 	 5 	 12 	
 54 	 6 	 12 	
 54 	 7 	 12 	
 54 	 8 	 12 	
 54 	 9 	 12 	
 54 	 10 	 12 	
 55 	 1 	 6 	
 55 	 2 	 9 	
 55 	 3 	 11 	
 55 	 4 	 12 	
 55 	 5 	 12 	
 55 	 6 	 12 	
 55 	 7 	 12 	
 55 	 8 	 12 	
 55 	 9 	 12 	
 55 	 10 	 12 	
 56 	 1 	 5 	
 56 	 2 	 9 	
 56 	 3 	 11 	
 56 	 4 	 11 	
 56 	 5 	 12 	
 56 	 6 	 12 	
 56 	 7 	 12 	
 56 	 8 	 12 	
 56 	 9 	 12 	
 56 	 10 	 12 	
 57 	 1 	 3 	
 57 	 2 	 5 	
 57 	 3 	 10 	
 57 	 4 	 11 	
 57 	 5 	 12 	
 57 	 6 	 12 	
 57 	 7 	 12 	
 57 	 8 	 12 	
 57 	 9 	 12 	
 57 	 10 	 12 	
 58 	 1 	 4 	
 58 	 2 	 10 	
 58 	 3 	 10 	
 58 	 4 	 12 	
 58 	 5 	 12 	
 58 	 6 	 12 	
 58 	 7 	 12 	
 58 	 8 	 12 	
 58 	 9 	 12 	
 58 	 10 	 12 	
 59 	 1 	 5 	
 59 	 2 	 12 	
 59 	 3 	 12 	
 59 	 4 	 12 	
 59 	 5 	 12 	
 59 	 6 	 12 	
 59 	 7 	 12 	
 59 	 8 	 12 	
 59 	 9 	 12 	
 59 	 10 	 12 	
 60 	 1 	 6 	
 60 	 2 	 8 	
 60 	 3 	 11 	
 60 	 4 	 12 	
 60 	 5 	 12 	
 60 	 6 	 12 	
 60 	 7 	 12 	
 60 	 8 	 12 	
 60 	 9 	 12 	
 60 	 10 	 12 	
 61 	 1 	 6 	
 61 	 2 	 9 	
 61 	 3 	 11 	
 61 	 4 	 12 	
 61 	 5 	 12 	
 61 	 6 	 12 	
 61 	 7 	 12 	
 61 	 8 	 12 	
 61 	 9 	 12 	
 61 	 10 	 12 	
 62 	 1 	 5 	
 62 	 2 	 9 	
 62 	 3 	 11 	
 62 	 4 	 11 	
 62 	 5 	 12 	
 62 	 6 	 12 	
 62 	 7 	 12 	
 62 	 8 	 12 	
 62 	 9 	 12 	
 62 	 10 	 12 	
 63 	 1 	 3 	
 63 	 2 	 5 	
 63 	 3 	 10 	
 63 	 4 	 11 	
 63 	 5 	 12 	
 63 	 6 	 12 	
 63 	 7 	 12 	
 63 	 8 	 12 	
 63 	 9 	 12 	
 63 	 10 	 12 	
 64 	 1 	 4 	
 64 	 2 	 10 	
 64 	 3 	 10 	
 64 	 4 	 12 	
 64 	 5 	 12 	
 64 	 6 	 12 	
 64 	 7 	 12 	
 64 	 8 	 12 	
 64 	 9 	 12 	
 64 	 10 	 12 	
 65 	 1 	 5 	
 65 	 2 	 12 	
 65 	 3 	 12 	
 65 	 4 	 12 	
 65 	 5 	 12 	
 65 	 6 	 12 	
 65 	 7 	 12 	
 65 	 8 	 12 	
 65 	 9 	 12 	
 65 	 10 	 12 	
 66 	 1 	 6 	
 66 	 2 	 8 	
 66 	 3 	 11 	
 66 	 4 	 12 	
 66 	 5 	 12 	
 66 	 6 	 12 	
 66 	 7 	 12 	
 66 	 8 	 12 	
 66 	 9 	 12 	
 66 	 10 	 12 	
 67 	 1 	 6 	
 67 	 2 	 9 	
 67 	 3 	 11 	
 67 	 4 	 12 	
 67 	 5 	 12 	
 67 	 6 	 12 	
 67 	 7 	 12 	
 67 	 8 	 12 	
 67 	 9 	 12 	
 67 	 10 	 12 	
 68 	 1 	 5 	
 68 	 2 	 9 	
 68 	 3 	 11 	
 68 	 4 	 11 	
 68 	 5 	 12 	
 68 	 6 	 12 	
 68 	 7 	 12 	
 68 	 8 	 12 	
 68 	 9 	 12 	
 68 	 10 	 12 	
 69 	 1 	 3 	
 69 	 2 	 5 	
 69 	 3 	 10 	
 69 	 4 	 11 	
 69 	 5 	 12 	
 69 	 6 	 12 	
 69 	 7 	 12 	
 69 	 8 	 12 	
 69 	 9 	 12 	
 69 	 10 	 12 	
 70 	 1 	 4 	
 70 	 2 	 10 	
 70 	 3 	 10 	
 70 	 4 	 12 	
 70 	 5 	 12 	
 70 	 6 	 12 	
 70 	 7 	 12 	
 70 	 8 	 12 	
 70 	 9 	 12 	
 70 	 10 	 12 	
 71 	 1 	 5 	
 71 	 2 	 12 	
 71 	 3 	 12 	
 71 	 4 	 12 	
 71 	 5 	 12 	
 71 	 6 	 12 	
 71 	 7 	 12 	
 71 	 8 	 12 	
 71 	 9 	 12 	
 71 	 10 	 12 	
 72 	 1 	 6 	
 72 	 2 	 8 	
 72 	 3 	 11 	
 72 	 4 	 12 	
 72 	 5 	 12 	
 72 	 6 	 12 	
 72 	 7 	 12 	
 72 	 8 	 12 	
 72 	 9 	 12 	
 72 	 10 	 12 	
 73 	 1 	 6 	
 73 	 2 	 9 	
 73 	 3 	 11 	
 73 	 4 	 12 	
 73 	 5 	 12 	
 73 	 6 	 12 	
 73 	 7 	 12 	
 73 	 8 	 12 	
 73 	 9 	 12 	
 73 	 10 	 12 	
 74 	 1 	 5 	
 74 	 2 	 9 	
 74 	 3 	 11 	
 74 	 4 	 11 	
 74 	 5 	 12 	
 74 	 6 	 12 	
 74 	 7 	 12 	
 74 	 8 	 12 	
 74 	 9 	 12 	
 74 	 10 	 12 	
 75 	 1 	 3 	
 75 	 2 	 5 	
 75 	 3 	 10 	
 75 	 4 	 11 	
 75 	 5 	 12 	
 75 	 6 	 12 	
 75 	 7 	 12 	
 75 	 8 	 12 	
 75 	 9 	 12 	
 75 	 10 	 12 	
 76 	 1 	 4 	
 76 	 2 	 10 	
 76 	 3 	 10 	
 76 	 4 	 12 	
 76 	 5 	 12 	
 76 	 6 	 12 	
 76 	 7 	 12 	
 76 	 8 	 12 	
 76 	 9 	 12 	
 76 	 10 	 12 	
 77 	 1 	 5 	
 77 	 2 	 12 	
 77 	 3 	 12 	
 77 	 4 	 12 	
 77 	 5 	 12 	
 77 	 6 	 12 	
 77 	 7 	 12 	
 77 	 8 	 12 	
 77 	 9 	 12 	
 77 	 10 	 12 	
 78 	 1 	 6 	
 78 	 2 	 8 	
 78 	 3 	 11 	
 78 	 4 	 12 	
 78 	 5 	 12 	
 78 	 6 	 12 	
 78 	 7 	 12 	
 78 	 8 	 12 	
 78 	 9 	 12 	
 78 	 10 	 12 	
 79 	 1 	 6 	
 79 	 2 	 9 	
 79 	 3 	 11 	
 79 	 4 	 12 	
 79 	 5 	 12 	
 79 	 6 	 12 	
 79 	 7 	 12 	
 79 	 8 	 12 	
 79 	 9 	 12 	
 79 	 10 	 12 	
 80 	 1 	 5 	
 80 	 2 	 9 	
 80 	 3 	 11 	
 80 	 4 	 11 	
 80 	 5 	 12 	
 80 	 6 	 12 	
 80 	 7 	 12 	
 80 	 8 	 12 	
 80 	 9 	 12 	
 80 	 10 	 12 	
 81 	 1 	 3 	
 81 	 2 	 5 	
 81 	 3 	 10 	
 81 	 4 	 11 	
 81 	 5 	 12 	
 81 	 6 	 12 	
 81 	 7 	 12 	
 81 	 8 	 12 	
 81 	 9 	 12 	
 81 	 10 	 12 	
 82 	 1 	 4 	
 82 	 2 	 10 	
 82 	 3 	 10 	
 82 	 4 	 12 	
 82 	 5 	 12 	
 82 	 6 	 12 	
 82 	 7 	 12 	
 82 	 8 	 12 	
 82 	 9 	 12 	
 82 	 10 	 12 	
 83 	 1 	 5 	
 83 	 2 	 12 	
 83 	 3 	 12 	
 83 	 4 	 12 	
 83 	 5 	 12 	
 83 	 6 	 12 	
 83 	 7 	 12 	
 83 	 8 	 12 	
 83 	 9 	 12 	
 83 	 10 	 12 	
 84 	 1 	 6 	
 84 	 2 	 8 	
 84 	 3 	 11 	
 84 	 4 	 12 	
 84 	 5 	 12 	
 84 	 6 	 12 	
 84 	 7 	 12 	
 84 	 8 	 12 	
 84 	 9 	 12 	
 84 	 10 	 12 	
 85 	 1 	 6 	
 85 	 2 	 9 	
 85 	 3 	 11 	
 85 	 4 	 12 	
 85 	 5 	 12 	
 85 	 6 	 12 	
 85 	 7 	 12 	
 85 	 8 	 12 	
 85 	 9 	 12 	
 85 	 10 	 12 	
 86 	 1 	 5 	
 86 	 2 	 9 	
 86 	 3 	 11 	
 86 	 4 	 11 	
 86 	 5 	 12 	
 86 	 6 	 12 	
 86 	 7 	 12 	
 86 	 8 	 12 	
 86 	 9 	 12 	
 86 	 10 	 12 	
 87 	 1 	 3 	
 87 	 2 	 5 	
 87 	 3 	 10 	
 87 	 4 	 11 	
 87 	 5 	 12 	
 87 	 6 	 12 	
 87 	 7 	 12 	
 87 	 8 	 12 	
 87 	 9 	 12 	
 87 	 10 	 12 	
 88 	 1 	 4 	
 88 	 2 	 10 	
 88 	 3 	 10 	
 88 	 4 	 12 	
 88 	 5 	 12 	
 88 	 6 	 12 	
 88 	 7 	 12 	
 88 	 8 	 12 	
 88 	 9 	 12 	
 88 	 10 	 12 	
 89 	 1 	 5 	
 89 	 2 	 12 	
 89 	 3 	 12 	
 89 	 4 	 12 	
 89 	 5 	 12 	
 89 	 6 	 12 	
 89 	 7 	 12 	
 89 	 8 	 12 	
 89 	 9 	 12 	
 89 	 10 	 12 	
 90 	 1 	 6 	
 90 	 2 	 8 	
 90 	 3 	 11 	
 90 	 4 	 12 	
 90 	 5 	 12 	
 90 	 6 	 12 	
 90 	 7 	 12 	
 90 	 8 	 12 	
 90 	 9 	 12 	
 90 	 10 	 12 	
 91 	 1 	 6 	
 91 	 2 	 9 	
 91 	 3 	 11 	
 91 	 4 	 12 	
 91 	 5 	 12 	
 91 	 6 	 12 	
 91 	 7 	 12 	
 91 	 8 	 12 	
 91 	 9 	 12 	
 91 	 10 	 12 	
 92 	 1 	 5 	
 92 	 2 	 9 	
 92 	 3 	 11 	
 92 	 4 	 11 	
 92 	 5 	 12 	
 92 	 6 	 12 	
 92 	 7 	 12 	
 92 	 8 	 12 	
 92 	 9 	 12 	
 92 	 10 	 12 	
 93 	 1 	 3 	
 93 	 2 	 5 	
 93 	 3 	 10 	
 93 	 4 	 11 	
 93 	 5 	 12 	
 93 	 6 	 12 	
 93 	 7 	 12 	
 93 	 8 	 12 	
 93 	 9 	 12 	
 93 	 10 	 12 	
 94 	 1 	 4 	
 94 	 2 	 10 	
 94 	 3 	 10 	
 94 	 4 	 12 	
 94 	 5 	 12 	
 94 	 6 	 12 	
 94 	 7 	 12 	
 94 	 8 	 12 	
 94 	 9 	 12 	
 94 	 10 	 12 	
 95 	 1 	 5 	
 95 	 2 	 12 	
 95 	 3 	 12 	
 95 	 4 	 12 	
 95 	 5 	 12 	
 95 	 6 	 12 	
 95 	 7 	 12 	
 95 	 8 	 12 	
 95 	 9 	 12 	
 95 	 10 	 12 	
 96 	 1 	 6 	
 96 	 2 	 8 	
 96 	 3 	 11 	
 96 	 4 	 12 	
 96 	 5 	 12 	
 96 	 6 	 12 	
 96 	 7 	 12 	
 96 	 8 	 12 	
 96 	 9 	 12 	
 96 	 10 	 12 	
 97 	 1 	 6 	
 97 	 2 	 9 	
 97 	 3 	 11 	
 97 	 4 	 12 	
 97 	 5 	 12 	
 97 	 6 	 12 	
 97 	 7 	 12 	
 97 	 8 	 12 	
 97 	 9 	 12 	
 97 	 10 	 12 	
 98 	 1 	 5 	
 98 	 2 	 9 	
 98 	 3 	 11 	
 98 	 4 	 11 	
 98 	 5 	 12 	
 98 	 6 	 12 	
 98 	 7 	 12 	
 98 	 8 	 12 	
 98 	 9 	 12 	
 98 	 10 	 12 	
 99 	 1 	 3 	
 99 	 2 	 5 	
 99 	 3 	 10 	
 99 	 4 	 11 	
 99 	 5 	 12 	
 99 	 6 	 12 	
 99 	 7 	 12 	
 99 	 8 	 12 	
 99 	 9 	 12 	
 99 	 10 	 12 	
 100 	 1 	 4 	
 100 	 2 	 10 	
 100 	 3 	 10 	
 100 	 4 	 12 	
 100 	 5 	 12 	
 100 	 6 	 12 	
 100 	 7 	 12 	
 100 	 8 	 12 	
 100 	 9 	 12 	
 100 	 10 	 12 	
CURSAT ver. 2.1 Edition #1 started on 03-05-2020 at 14:59:24 and ended on 03-05-2020 at 14:59:26
