CURSAT ver 2.1 Edition #2   Date:         03-05-2020      Hour:       15:28:29
Input file:   data.txt
Accumulation pseudoreplicates' file:      accum_data_shuf.txt
Dataset pseudoreplicates' file:           pseud_data_shuf.txt
Number of columns (sampling events):       5 
Number of rows (species, OTUs, objects,...):             4 
Number of repetitions:       100 
Seed number:  12348695
Log filename:               data_shuf_log.txt

Resampling without replacement

Replicate	Sampling event	Accumulation per n. of events	
 27 	 1 	 3 	
 27 	 2 	 4 	
 27 	 3 	 4 	
 27 	 4 	 4 	
 27 	 5 	 4 	
 28 	 1 	 3 	
 28 	 2 	 4 	
 28 	 3 	 4 	
 28 	 4 	 4 	
 28 	 5 	 4 	
 29 	 1 	 3 	
 29 	 2 	 4 	
 29 	 3 	 4 	
 29 	 4 	 4 	
 29 	 5 	 4 	
 30 	 1 	 3 	
 30 	 2 	 4 	
 30 	 3 	 4 	
 30 	 4 	 4 	
 30 	 5 	 4 	
 31 	 1 	 3 	
 31 	 2 	 4 	
 31 	 3 	 4 	
 31 	 4 	 4 	
 31 	 5 	 4 	
 32 	 1 	 3 	
 32 	 2 	 3 	
 32 	 3 	 4 	
 32 	 4 	 4 	
 32 	 5 	 4 	
 33 	 1 	 3 	
 33 	 2 	 4 	
 33 	 3 	 4 	
 33 	 4 	 4 	
 33 	 5 	 4 	
 34 	 1 	 3 	
 34 	 2 	 4 	
 34 	 3 	 4 	
 34 	 4 	 4 	
 34 	 5 	 4 	
 35 	 1 	 3 	
 35 	 2 	 4 	
 35 	 3 	 4 	
 35 	 4 	 4 	
 35 	 5 	 4 	
 36 	 1 	 3 	
 36 	 2 	 4 	
 36 	 3 	 4 	
 36 	 4 	 4 	
 36 	 5 	 4 	
 37 	 1 	 3 	
 37 	 2 	 4 	
 37 	 3 	 4 	
 37 	 4 	 4 	
 37 	 5 	 4 	
 38 	 1 	 3 	
 38 	 2 	 4 	
 38 	 3 	 4 	
 38 	 4 	 4 	
 38 	 5 	 4 	
 39 	 1 	 3 	
 39 	 2 	 4 	
 39 	 3 	 4 	
 39 	 4 	 4 	
 39 	 5 	 4 	
 40 	 1 	 3 	
 40 	 2 	 4 	
 40 	 3 	 4 	
 40 	 4 	 4 	
 40 	 5 	 4 	
 41 	 1 	 3 	
 41 	 2 	 4 	
 41 	 3 	 4 	
 41 	 4 	 4 	
 41 	 5 	 4 	
 42 	 1 	 3 	
 42 	 2 	 4 	
 42 	 3 	 4 	
 42 	 4 	 4 	
 42 	 5 	 4 	
 43 	 1 	 3 	
 43 	 2 	 3 	
 43 	 3 	 4 	
 43 	 4 	 4 	
 43 	 5 	 4 	
 44 	 1 	 3 	
 44 	 2 	 4 	
 44 	 3 	 4 	
 44 	 4 	 4 	
 44 	 5 	 4 	
 45 	 1 	 3 	
 45 	 2 	 4 	
 45 	 3 	 4 	
 45 	 4 	 4 	
 45 	 5 	 4 	
 46 	 1 	 3 	
 46 	 2 	 4 	
 46 	 3 	 4 	
 46 	 4 	 4 	
 46 	 5 	 4 	
 47 	 1 	 3 	
 47 	 2 	 4 	
 47 	 3 	 4 	
 47 	 4 	 4 	
 47 	 5 	 4 	
 48 	 1 	 3 	
 48 	 2 	 4 	
 48 	 3 	 4 	
 48 	 4 	 4 	
 48 	 5 	 4 	
 49 	 1 	 3 	
 49 	 2 	 4 	
 49 	 3 	 4 	
 49 	 4 	 4 	
 49 	 5 	 4 	
 50 	 1 	 3 	
 50 	 2 	 4 	
 50 	 3 	 4 	
 50 	 4 	 4 	
 50 	 5 	 4 	
 51 	 1 	 3 	
 51 	 2 	 4 	
 51 	 3 	 4 	
 51 	 4 	 4 	
 51 	 5 	 4 	
 52 	 1 	 3 	
 52 	 2 	 4 	
 52 	 3 	 4 	
 52 	 4 	 4 	
 52 	 5 	 4 	
 53 	 1 	 3 	
 53 	 2 	 3 	
 53 	 3 	 4 	
 53 	 4 	 4 	
 53 	 5 	 4 	
 54 	 1 	 3 	
 54 	 2 	 4 	
 54 	 3 	 4 	
 54 	 4 	 4 	
 54 	 5 	 4 	
 55 	 1 	 3 	
 55 	 2 	 4 	
 55 	 3 	 4 	
 55 	 4 	 4 	
 55 	 5 	 4 	
 56 	 1 	 3 	
 56 	 2 	 4 	
 56 	 3 	 4 	
 56 	 4 	 4 	
 56 	 5 	 4 	
 57 	 1 	 3 	
 57 	 2 	 4 	
 57 	 3 	 4 	
 57 	 4 	 4 	
 57 	 5 	 4 	
 58 	 1 	 3 	
 58 	 2 	 4 	
 58 	 3 	 4 	
 58 	 4 	 4 	
 58 	 5 	 4 	
 59 	 1 	 3 	
 59 	 2 	 4 	
 59 	 3 	 4 	
 59 	 4 	 4 	
 59 	 5 	 4 	
 60 	 1 	 3 	
 60 	 2 	 4 	
 60 	 3 	 4 	
 60 	 4 	 4 	
 60 	 5 	 4 	
 61 	 1 	 3 	
 61 	 2 	 4 	
 61 	 3 	 4 	
 61 	 4 	 4 	
 61 	 5 	 4 	
 62 	 1 	 3 	
 62 	 2 	 4 	
 62 	 3 	 4 	
 62 	 4 	 4 	
 62 	 5 	 4 	
 63 	 1 	 3 	
 63 	 2 	 4 	
 63 	 3 	 4 	
 63 	 4 	 4 	
 63 	 5 	 4 	
 64 	 1 	 3 	
 64 	 2 	 3 	
 64 	 3 	 4 	
 64 	 4 	 4 	
 64 	 5 	 4 	
 65 	 1 	 3 	
 65 	 2 	 4 	
 65 	 3 	 4 	
 65 	 4 	 4 	
 65 	 5 	 4 	
 66 	 1 	 3 	
 66 	 2 	 4 	
 66 	 3 	 4 	
 66 	 4 	 4 	
 66 	 5 	 4 	
 67 	 1 	 3 	
 67 	 2 	 4 	
 67 	 3 	 4 	
 67 	 4 	 4 	
 67 	 5 	 4 	
 68 	 1 	 3 	
 68 	 2 	 4 	
 68 	 3 	 4 	
 68 	 4 	 4 	
 68 	 5 	 4 	
 69 	 1 	 3 	
 69 	 2 	 4 	
 69 	 3 	 4 	
 69 	 4 	 4 	
 69 	 5 	 4 	
 70 	 1 	 3 	
 70 	 2 	 4 	
 70 	 3 	 4 	
 70 	 4 	 4 	
 70 	 5 	 4 	
 71 	 1 	 3 	
 71 	 2 	 4 	
 71 	 3 	 4 	
 71 	 4 	 4 	
 71 	 5 	 4 	
 72 	 1 	 3 	
 72 	 2 	 4 	
 72 	 3 	 4 	
 72 	 4 	 4 	
 72 	 5 	 4 	
 73 	 1 	 3 	
 73 	 2 	 4 	
 73 	 3 	 4 	
 73 	 4 	 4 	
 73 	 5 	 4 	
 74 	 1 	 3 	
 74 	 2 	 3 	
 74 	 3 	 4 	
 74 	 4 	 4 	
 74 	 5 	 4 	
 75 	 1 	 3 	
 75 	 2 	 4 	
 75 	 3 	 4 	
 75 	 4 	 4 	
 75 	 5 	 4 	
 76 	 1 	 3 	
 76 	 2 	 4 	
 76 	 3 	 4 	
 76 	 4 	 4 	
 76 	 5 	 4 	
 77 	 1 	 3 	
 77 	 2 	 4 	
 77 	 3 	 4 	
 77 	 4 	 4 	
 77 	 5 	 4 	
 78 	 1 	 3 	
 78 	 2 	 4 	
 78 	 3 	 4 	
 78 	 4 	 4 	
 78 	 5 	 4 	
 79 	 1 	 3 	
 79 	 2 	 4 	
 79 	 3 	 4 	
 79 	 4 	 4 	
 79 	 5 	 4 	
 80 	 1 	 3 	
 80 	 2 	 4 	
 80 	 3 	 4 	
 80 	 4 	 4 	
 80 	 5 	 4 	
 81 	 1 	 3 	
 81 	 2 	 4 	
 81 	 3 	 4 	
 81 	 4 	 4 	
 81 	 5 	 4 	
 82 	 1 	 3 	
 82 	 2 	 4 	
 82 	 3 	 4 	
 82 	 4 	 4 	
 82 	 5 	 4 	
 83 	 1 	 3 	
 83 	 2 	 4 	
 83 	 3 	 4 	
 83 	 4 	 4 	
 83 	 5 	 4 	
 84 	 1 	 3 	
 84 	 2 	 4 	
 84 	 3 	 4 	
 84 	 4 	 4 	
 84 	 5 	 4 	
 85 	 1 	 3 	
 85 	 2 	 3 	
 85 	 3 	 4 	
 85 	 4 	 4 	
 85 	 5 	 4 	
 86 	 1 	 3 	
 86 	 2 	 4 	
 86 	 3 	 4 	
 86 	 4 	 4 	
 86 	 5 	 4 	
 87 	 1 	 3 	
 87 	 2 	 4 	
 87 	 3 	 4 	
 87 	 4 	 4 	
 87 	 5 	 4 	
 88 	 1 	 3 	
 88 	 2 	 4 	
 88 	 3 	 4 	
 88 	 4 	 4 	
 88 	 5 	 4 	
 89 	 1 	 3 	
 89 	 2 	 4 	
 89 	 3 	 4 	
 89 	 4 	 4 	
 89 	 5 	 4 	
 90 	 1 	 3 	
 90 	 2 	 4 	
 90 	 3 	 4 	
 90 	 4 	 4 	
 90 	 5 	 4 	
 91 	 1 	 3 	
 91 	 2 	 4 	
 91 	 3 	 4 	
 91 	 4 	 4 	
 91 	 5 	 4 	
 92 	 1 	 3 	
 92 	 2 	 4 	
 92 	 3 	 4 	
 92 	 4 	 4 	
 92 	 5 	 4 	
 93 	 1 	 3 	
 93 	 2 	 4 	
 93 	 3 	 4 	
 93 	 4 	 4 	
 93 	 5 	 4 	
 94 	 1 	 3 	
 94 	 2 	 4 	
 94 	 3 	 4 	
 94 	 4 	 4 	
 94 	 5 	 4 	
 95 	 1 	 3 	
 95 	 2 	 3 	
 95 	 3 	 4 	
 95 	 4 	 4 	
 95 	 5 	 4 	
 96 	 1 	 3 	
 96 	 2 	 4 	
 96 	 3 	 4 	
 96 	 4 	 4 	
 96 	 5 	 4 	
 97 	 1 	 3 	
 97 	 2 	 4 	
 97 	 3 	 4 	
 97 	 4 	 4 	
 97 	 5 	 4 	
 98 	 1 	 3 	
 98 	 2 	 4 	
 98 	 3 	 4 	
 98 	 4 	 4 	
 98 	 5 	 4 	
 99 	 1 	 3 	
 99 	 2 	 4 	
 99 	 3 	 4 	
 99 	 4 	 4 	
 99 	 5 	 4 	
 100 	 1 	 3 	
 100 	 2 	 4 	
 100 	 3 	 4 	
 100 	 4 	 4 	
 100 	 5 	 4 	
CURSAT ver. 2.1 Edition #2 started on 03-05-2020 at 15:28:29 and ended on 03-05-2020 at 15:28:31
